sn,name
1,Isaac Newton
2,Archimedes
3,Carl F. Gauss
4,Leonhard Euler
5,Bernhard Riemann
6,Henri Poincaré
7,Joseph-Louis Lagrange
8,Euclid
9,David Hilbert
10,Gottfried W. Leibniz
11,Alexandre Grothendieck
12,Pierre de Fermat
13,Évariste Galois
14,John von Neumann
15,René Descartes
16,Karl W. T. Weierstrass
17,Srinivasa Ramanujan
18,Hermann K. H. Weyl
19,Peter G. L. Dirichlet
20,Niels Abel
21,Georg Cantor
22,Carl G. J. Jacobi
23,Brahmagupta
24,Augustin Cauchy
25,Arthur Cayley
26,Emmy Noether
27,Pythagoras
28,Aryabhata
29,Leonardo `Fibonacci'
30,William R. Hamilton
31,Apollonius
32,Charles Hermite
33,Pierre-Simon Laplace
34,Carl Ludwig Siegel
35,Johannes Kepler
36,Diophantus
37,Muhammed
38,Kurt Gödel
39,Richard Dedekind
40,Felix Christian Klein
41,Bháscara
42,Blaise Pascal
43,Élie Cartan
44,Archytas
45,Godfrey H. Hardy
46,Alhazen ibn al-Haytham
47,Jean le Rond d'Alembert
48,F.E.J. Émile Borel
49,Julius Plücker
50,Hipparchus
51,Andrey N. Kolmogorov
52,Joseph Liouville
53,Eudoxus
54,F. Gotthold Eisenstein
55,Jacob Bernoulli
56,Stefan Banach
57,Jacques Hadamard
58,Giuseppe Peano
59,Panini
60,André Weil
61,Jean-Pierre Serre
62,Jakob Steiner
63,Marius Sophus Lie
64,F. L. Gottlob Frege
65,Christiaan Huygens
66,François Viète
67,M. E. Camille Jordan
68,Joseph Fourier
69,Bonaventura Cavalieri
70,Hermann G. Grassmann
71,Albert Einstein
72,James C. Maxwell
73,Girolamo Cardano
74,Aristotle
75,Galileo Galilei
76,Michael F. Atiyah
77,Atle Selberg
78,Alfred Tarski
79,Gaspard Monge
80,L.E.J. Brouwer
81,Liu Hui
82,Alan M. Turing
83,Jean-Victor Poncelet
84,John E. Littlewood
85,Shiing-Shen Chern
86,James J. Sylvester
87,Henri Léon Lebesgue
88,Johann Bernoulli
89,Ernst E. Kummer
90,Johann H. Lambert
91,George Pólya
92,Felix Hausdorff
93,George D. Birkhoff
94,Pafnuti Chebyshev
95,Adrien M. Legendre
96,"John F. Nash, Jr."
97,Siméon-Denis Poisson
98,John Wallis
99,Omar al-Khayyám
100,Thales
